Laptop Name,Price,Laptop Link
DELL Vostro 3500 Intel Core i5-1135G7-4GB-1TB-Intel iris Xe Graphics-15.6 inch HD-DOS-Black,9999,https://compuscience.com.eg/en/laptop/2063-dell-vostro-3500-intel-core-i5-1135g7-4gb-1tb-intel-iris-xe-graphics-156-inch-hd-dos-black.html
DELL Vostro 3500 Intel Core i5-1135G7-8GB-1TB-Nvidia MX330-2GB-15.6 inch HD-DOS-Black,11499,https://compuscience.com.eg/en/laptop/2061-dell-vostro-3500-intel-core-i5-1135g7-8gb-1tb-nvidia-mx330-2gb-156-inch-hd-dos-black.html
Lenovo IdeaPad Gaming 3 AMD R7-5800H-16GB-1TB+SSD 256GB-GTX1650-4G-15.6 FHD IPS-Dos-BLACK,18888,https://compuscience.com.eg/en/laptop/2059-lenovo-ideapad-gaming-3-amd-r7-5800h-16gb-1tbssd-256gb-gtx1650-4g-156-fhd-ips-dos-black.html
Dell Inspiron G15-N5511 i7-11800H-16GB-SSD 512GB-RTX3050Ti-4GB-15.6 FHD 120Hz-DOS-Shadow Grey-Gaming Mouse,22499,https://compuscience.com.eg/en/laptop/2038-dell-inspiron-g15-n5511-i7-11800h-16gb-ssd-512gb-rtx3050ti-4gb-156-fhd-120hz-dos-shadow-grey-gaming-mouse.html
Dell Inspiron G15-N5511 i7-11800H-16GB-SSD 512GB-RTX3050-4GB-15.6 FHD 120Hz-DOS-Shadow Grey-Gaming Mouse,21999,https://compuscience.com.eg/en/laptop/2037-dell-inspiron-g15-n5511-i7-11800h-16gb-ssd-512gb-rtx3050-4gb-156-fhd-120hz-dos-shadow-grey-.html
Lenovo Legion 5 AMD R7-5800H-16GB-SSD 512B-RTX3050Ti-4GB-15.6 FHD-Win10-Abyss-Blue,21999,https://compuscience.com.eg/en/laptop/2034-lenovo-legion-5-amd-r7-5800h-16gb-ssd-512b-rtx3050ti-4gb-156-fhd-win10-black.html
Lenovo IdeaPad L3 Core i5-10210U-8GB-1TB-MX130-2GB-15.6 FHD-DOS-ABYSSBLUE,10999,https://compuscience.com.eg/en/laptop/2027-lenovo-ideapad-l3-core-i5-10210u-8gb-1tb-mx130-2gb-156-fhd-dos-abyssblue.html
DELL Vostro 3510 Core i3-1115G4-4GB-1TB-Intel UHD Graphics-15.6 HD-DOS-Black,7999,https://compuscience.com.eg/en/laptop/2026-dell-vostro-3510-core-i3-1115g4-4gb-1tb-intel-uhd-graphics-156-hd-dos-black.html
DELL Vostro 3510 Core i5-1135G7-4GB-1TB-Intel iris Xe Graphics-15.6 HD-DOS-Black,10999,https://compuscience.com.eg/en/laptop/2025-dell-vostro-3510-core-i5-1135g7-4gb-1tb-intel-iris-xe-graphics-156-hd-dos-black.html
HP 255 G7 AMD R5-3500U-8GB-1TB-AMD Radeon™ R3 Graphics-15.6 HD-DOS-Black,9999,https://compuscience.com.eg/en/laptop/2011-hp-255-g7-amd-r5-3500u-8gb-1tb-amd-radeon-r3-graphics-156-hd-dos-black.html
