Day,Temp,Humidity,Visibility,Air-Pressure,WindSpeed
2022-02-06,8.805,19.21,56,11.122855026644396,1025.5,4.1947014165752
2022-02-07,9.825,21.810000000000002,42,12.179186053447864,1023.5,5.285702918115539
2022-02-08,10.434999999999999,23.915,35,12.478065596914021,1020.0,5.421404439033378
2022-02-09,11.34,17.78,47,12.149049550624355,1017.5,10.657344445072775
2022-02-10,10.105,15.864999999999998,49,11.20798287998091,1019.0,9.628798676218882
2022-02-11,8.915,19.05,54,9.999726596675416,1021.0,4.840419947506562
